book_code,book_title,author_name,category_name,title_link,script_section,book_type,description_link,cover_image,bin_loc,volume_track,volume_title,series_name,series_order,file_updb,file_pdb,file_prc,file_mobi,file_epub,file_vepub,file_mp3,first_published,last_modified
0301,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0301.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0302,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0302.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0303,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0303.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0304,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0304.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0305,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0305.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0306,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0306.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0307,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0307.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0308,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0308.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0309,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0309.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0310,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0310.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0311,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0311.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0312,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0312.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0313,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0313.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0314,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0314.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0315,《買命》,倪匡,奇幻小說,?M=Share&P=0315,Share,text,Share/0315.html,[NA],I,[NA],[NA],衛斯理系列,105,0315.updb,0315.pdb,0315.prc,V0315.mobi,0315.epub,V0315.epub,[NA],12/1/2017,12/1/2017
0316,《賣命》,倪匡,奇幻小說,?M=Share&P=0316,Share,text,Share/0316.html,[NA],I,[NA],[NA],衛斯理系列,106,0316.updb,0316.pdb,0316.prc,[NA],0316.epub,V0316.epub,[NA],12/1/2017,12/1/2017
0317,《閉關開關》,倪匡,奇幻小說,?M=Share&P=0317,Share,text,Share/0317.html,[NA],I,[NA],[NA],衛斯理系列,121,0317.updb,0317.pdb,0317.prc,V0317.mobi,0317.epub,V0317.epub,[NA],12/1/2017,12/1/2017
0318,《解開密碼》,倪匡,奇幻小說,?M=Share&P=0318,Share,text,Share/0318.html,[NA],I,[NA],[NA],衛斯理系列,118,0318.updb,0318.pdb,0318.prc,[NA],0318.epub,[NA],[NA],12/1/2017,12/1/2017
0319,《偷天換日》,倪匡,奇幻小說,?M=Share&P=0319,Share,text,Share/0319.html,[NA],I,[NA],[NA],衛斯理系列,120,0319.updb,0319.pdb,0319.prc,V0319.mobi,0319.epub,V0319.epub,[NA],12/1/2017,12/1/2017
0320,《一半一半》,倪匡,奇幻小說,?M=Share&P=0320,Share,text,Share/0320.html,[NA],I,[NA],[NA],衛斯理系列,125,0320.updb,0320.pdb,0320.prc,V0320.mobi,0320.epub,V0320.epub,[NA],12/1/2017,12/1/2017
0321,《異種人生》,倪匡,奇幻小說,?M=Share&P=0321,Share,text,Share/0321.html,[NA],I,[NA],[NA],衛斯理系列,119,0321.updb,0321.pdb,0321.prc,V0321.mobi,0321.epub,V0321.epub,[NA],12/1/2017,12/27/2022
0322,《論金庸》,倪匡,武俠小說,?M=Share&P=0322,Share,text,Share/0322.html,[NA],I,[NA],[NA],[NA],[NA],0322.updb,0322.pdb,0322.prc,[NA],0322.epub,V0322.epub,[NA],12/1/2017,12/1/2017
0323,《考驗》,倪匡,奇幻小說,?M=Share&P=0323,Share,text,Share/0323.html,[NA],I,[NA],[NA],衛斯理系列,107,0323.updb,0323.pdb,0323.prc,V0323.mobi,0323.epub,V0323.epub,[NA],12/1/2017,12/1/2017
0324,【傳說】,倪匡,奇幻小說,?M=Share&P=0324,Share,text,Share/0324.html,covers/0324.jpg,I,[NA],[NA],衛斯理系列,108,0324.updb,0324.pdb,0324.prc,V0324.mobi,0324.epub,V0324.epub,[NA],12/1/2017,12/1/2017
0325,《豪賭》,倪匡,奇幻小說,?M=Share&P=0325,Share,text,Share/0325.html,[NA],I,[NA],[NA],衛斯理系列,109,0325.updb,0325.pdb,0325.prc,[NA],0325.epub,V0325.epub,[NA],12/1/2017,12/1/2017
0326,《真實幻境》,倪匡,奇幻小說,?M=Share&P=0326,Share,text,Share/0326.html,[NA],I,[NA],[NA],衛斯理系列,110,0326.updb,0326.pdb,0326.prc,V0326.mobi,0326.epub,V0326.epub,[NA],12/1/2017,12/1/2017
0327,《成精變人》,倪匡,奇幻小說,?M=Share&P=0327,Share,text,Share/0327.html,[NA],I,[NA],[NA],衛斯理系列,111,0327.updb,0327.pdb,0327.prc,[NA],0327.epub,V0327.epub,[NA],12/1/2017,12/1/2017
0328,《未來身份》,倪匡,奇幻小說,?M=Share&P=0328,Share,text,Share/0328.html,[NA],I,[NA],[NA],衛斯理系列,112,0328.updb,0328.pdb,0328.prc,V0328.mobi,0328.epub,V0328.epub,[NA],12/1/2017,12/1/2017
0329,《移魂怪物》,倪匡,奇幻小說,?M=Share&P=0329,Share,text,Share/0329.html,[NA],I,[NA],[NA],衛斯理系列,113,0329.updb,0329.pdb,0329.prc,V0329.mobi,0329.epub,V0329.epub,[NA],12/1/2017,12/1/2017
0330,《人面組合》,倪匡,奇幻小說,?M=Share&P=0330,Share,text,Share/0330.html,[NA],I,[NA],[NA],衛斯理系列,114,0330.updb,0330.pdb,0330.prc,V0330.mobi,0330.epub,V0330.epub,[NA],12/1/2017,12/1/2017
0331,【本性難移】,倪匡,奇幻小說,?M=Share&P=0331,Share,text,Share/0331.html,covers/0331.jpg,I,[NA],[NA],衛斯理系列,115,0331.updb,0331.pdb,0331.prc,V0331.mobi,0331.epub,V0331.epub,[NA],12/1/2017,12/1/2017
0332,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0332.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0333,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0333.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0334,《另類複製》,倪匡,奇幻小說,?M=Share&P=0334,Share,text,Share/0334.html,[NA],I,[NA],[NA],衛斯理系列,117,0334.updb,0334.pdb,0334.prc,V0334.mobi,0334.epub,V0334.epub,[NA],12/1/2017,12/1/2017
0335,《雙程》,倪匡,奇幻小說,?M=Share&P=0335,Share,text,Share/0335.html,[NA],I,[NA],[NA],衛斯理系列,103,0335.updb,0335.pdb,0335.prc,[NA],0335.epub,V0335.epub,[NA],12/1/2017,12/1/2017
0336,《洪荒》,倪匡,奇幻小說,?M=Share&P=0336,Share,text,Share/0336.html,[NA],I,[NA],[NA],衛斯理系列,104,0336.updb,0336.pdb,0336.prc,[NA],0336.epub,V0336.epub,[NA],12/1/2017,12/1/2017
0337,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0337.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0338,《天打雷劈》,倪匡,奇幻小說,?M=Share&P=0338,Share,text,Share/0338.html,[NA],I,[NA],[NA],衛斯理系列,116,0338.updb,0338.pdb,0338.prc,V0338.mobi,0338.epub,V0338.epub,[NA],12/1/2017,12/1/2017
0343,[NA],[NA],[NA],[NA],[NA],[NA],[NA],[NA],I,[NA],[NA],[NA],[NA],[NA],0343.pdb,[NA],[NA],[NA],[NA],[NA],12/1/2017,12/1/2017
0344,《活路》,倪匡,奇幻小說,?M=Share&P=0344,Share,text,Share/0344.html,[NA],I,[NA],[NA],衛斯理系列,102,0344.updb,0344.pdb,0344.prc,[NA],0344.epub,V0344.epub,[NA],12/1/2017,12/1/2017
0345,《原形》,倪匡,奇幻小說,?M=Share&P=0345,Share,text,Share/0345.html,[NA],I,[NA],[NA],衛斯理系列,101,0345.updb,0345.pdb,0345.prc,[NA],0345.epub,V0345.epub,[NA],12/1/2017,12/1/2017
0346,《病毒》,倪匡,奇幻小說,?M=Share&P=0346,Share,text,Share/0346.html,[NA],I,[NA],[NA],衛斯理系列,99,0346.updb,0346.pdb,0346.prc,V0346.mobi,0346.epub,V0346.epub,[NA],12/1/2017,12/1/2017
0347,《算帳》,倪匡,奇幻小說,?M=Share&P=0347,Share,text,Share/0347.html,[NA],I,[NA],[NA],衛斯理系列,100,0347.updb,0347.pdb,0347.prc,[NA],0347.epub,V0347.epub,[NA],12/1/2017,12/1/2017
0348,《前世》,倪匡,奇幻小說,?M=Share&P=0348,Share,text,Share/0348.html,[NA],I,[NA],[NA],衛斯理系列,97,0348.updb,0348.pdb,0348.prc,[NA],0348.epub,V0348.epub,[NA],12/1/2017,12/1/2017
0349,《新武器》,倪匡,奇幻小說,?M=Share&P=0349,Share,text,Share/0349.html,[NA],I,[NA],[NA],衛斯理系列,98,0349.updb,0349.pdb,0349.prc,[NA],0349.epub,V0349.epub,[NA],12/1/2017,12/1/2017
0350,《水晶宮》,倪匡,奇幻小說,?M=Share&P=0350,Share,text,Share/0350.html,[NA],I,[NA],[NA],衛斯理系列,96,0350.updb,0350.pdb,0350.prc,[NA],0350.epub,V0350.epub,[NA],12/1/2017,12/1/2017
0351,《爆炸》,倪匡,奇幻小說,?M=Share&P=0351,Share,text,Share/0351.html,[NA],I,[NA],[NA],衛斯理系列,95,0351.updb,0351.pdb,0351.prc,[NA],0351.epub,V0351.epub,[NA],12/1/2017,12/1/2017
0352,《遺傳》,倪匡,奇幻小說,?M=Share&P=0352,Share,text,Share/0352.html,[NA],I,[NA],[NA],衛斯理系列,94,0352.updb,0352.pdb,0352.prc,V0352.mobi,0352.epub,V0352.epub,[NA],12/1/2017,12/1/2017
0353,《解脫》,倪匡,奇幻小說,?M=Share&P=0353,Share,text,Share/0353.html,[NA],I,[NA],[NA],衛斯理系列,93,0353.updb,0353.pdb,0353.prc,[NA],0353.epub,V0353.epub,[NA],12/1/2017,12/1/2017
0354,【闖禍】,倪匡,奇幻小說,?M=Share&P=0354,Share,text,Share/0354.html,covers/0354.jpg,I,[NA],[NA],衛斯理系列,92,0354.updb,0354.pdb,0354.prc,[NA],0354.epub,V0354.epub,[NA],12/1/2017,12/1/2017
0355,【改變】,倪匡,奇幻小說,?M=Share&P=0355,Share,text,Share/0355.html,covers/0355.jpg,I,[NA],[NA],衛斯理系列,91,0355.updb,0355.pdb,0355.prc,[NA],0355.epub,V0355.epub,[NA],12/1/2017,12/1/2017
0356,《將來》,倪匡,奇幻小說,?M=Share&P=0356,Share,text,Share/0356.html,covers/0356.jpg,I,[NA],[NA],衛斯理系列,90,0356.updb,0356.pdb,0356.prc,[NA],0356.epub,V0356.epub,[NA],12/1/2017,12/1/2017
0357,《開心》,倪匡,奇幻小說,?M=Share&P=0357,Share,text,Share/0357.html,[NA],I,[NA],[NA],衛斯理系列,89,0357.updb,0357.pdb,0357.prc,V0357.mobi,0357.epub,V0357.epub,[NA],12/1/2017,12/1/2017
0358,【運氣】,倪匡,奇幻小說,?M=Share&P=0358,Share,text,Share/0358.html,covers/0358.jpg,I,[NA],[NA],衛斯理系列,88,0358.updb,0358.pdb,0358.prc,[NA],0358.epub,V0358.epub,[NA],12/1/2017,12/1/2017
0359,《還陽》,倪匡,奇幻小說,?M=Share&P=0359,Share,text,Share/0359.html,[NA],I,[NA],[NA],衛斯理系列,87,0359.updb,0359.pdb,0359.prc,[NA],0359.epub,V0359.epub,[NA],12/1/2017,12/1/2017
0360,《許願》,倪匡,奇幻小說,?M=Share&P=0360,Share,text,Share/0360.html,[NA],I,[NA],[NA],衛斯理系列,86,0360.updb,0360.pdb,0360.prc,[NA],0360.epub,V0360.epub,[NA],12/1/2017,12/1/2017
0361,《陰魂不散》,倪匡,奇幻小說,?M=Share&P=0361,Share,text,Share/0361.html,[NA],I,[NA],[NA],衛斯理系列,85,0361.updb,0361.pdb,0361.prc,[NA],0361.epub,V0361.epub,[NA],12/1/2017,12/1/2017
0362,《禍根》,倪匡,奇幻小說,?M=Share&P=0362,Share,text,Share/0362.html,[NA],I,[NA],[NA],衛斯理系列,84,0362.updb,0362.pdb,0362.prc,[NA],0362.epub,V0362.epub,[NA],12/1/2017,12/1/2017
0363,《陰差陽錯》,倪匡,奇幻小說,?M=Share&P=0363,Share,text,Share/0363.html,[NA],I,[NA],[NA],衛斯理系列,83,0363.updb,0363.pdb,0363.prc,[NA],0363.epub,V0363.epub,[NA],12/1/2017,12/1/2017
0364,《到陰間去》,倪匡,奇幻小說,?M=Share&P=0364,Share,text,Share/0364.html,[NA],I,[NA],[NA],衛斯理系列,82,0364.updb,0364.pdb,0364.prc,V0364.mobi,0364.epub,V0364.epub,[NA],12/1/2017,12/1/2017
0365,《從陰間來》,倪匡,奇幻小說,?M=Share&P=0365,Share,text,Share/0365.html,[NA],I,[NA],[NA],衛斯理系列,81,0365.updb,0365.pdb,0365.prc,[NA],0365.epub,V0365.epub,[NA],12/1/2017,12/1/2017
0366,【在數難逃】,倪匡,奇幻小說,?M=Share&P=0366,Share,text,Share/0366.html,covers/0366.jpg,I,[NA],[NA],衛斯理系列,80,0366.updb,0366.pdb,0366.prc,V0366.mobi,0366.epub,V0366.epub,[NA],12/1/2017,12/1/2017
0367,【轉世暗號】,倪匡,奇幻小說,?M=Share&P=0367,Share,text,Share/0367.html,covers/0367.jpg,I,[NA],[NA],衛斯理系列,78,0367.updb,0367.pdb,0367.prc,[NA],0367.epub,V0367.epub,[NA],12/1/2017,12/1/2017
0368,【暗號之二】,倪匡,奇幻小說,?M=Share&P=0368,Share,text,Share/0368.html,covers/0368.jpg,I,[NA],[NA],衛斯理系列,79,0368.updb,0368.pdb,0368.prc,V0368.mobi,0368.epub,V0368.epub,[NA],12/1/2017,12/1/2017
0371,《大秘密》,倪匡,奇幻小說,?M=Share&P=0371,Share,text,Share/0371.html,[NA],I,[NA],[NA],衛斯理系列,77,0371.updb,0371.pdb,0371.prc,V0371.mobi,0371.epub,V0371.epub,[NA],12/1/2017,12/1/2017
0372,《劍氣長江》,溫瑞安,武俠小說,?M=Share&P=0372,Share,text,Share/0372.html,[NA],I,[NA],[NA],神州奇俠系列,1,0372.updb,0372.pdb,0372.prc,V0372.mobi,0372.epub,V0372.epub,[NA],12/1/2017,12/1/2017
0373,《兩廣豪傑》,溫瑞安,武俠小說,?M=Share&P=0373,Share,text,Share/0373.html,[NA],I,[NA],[NA],神州奇俠系列,2,0373.updb,0373.pdb,0373.prc,V0373.mobi,0373.epub,V0373.epub,[NA],12/1/2017,12/1/2017
0374,《江山如畫》,溫瑞安,武俠小說,?M=Share&P=0374,Share,text,Share/0374.html,[NA],I,[NA],[NA],神州奇俠系列,3,0374.updb,0374.pdb,0374.prc,V0374.mobi,0374.epub,V0374.epub,[NA],12/1/2017,12/1/2017
0375,《英雄好漢》,溫瑞安,武俠小說,?M=Share&P=0375,Share,text,Share/0375.html,[NA],I,[NA],[NA],神州奇俠系列,4,0375.updb,0375.pdb,0375.prc,V0375.mobi,0375.epub,V0375.epub,[NA],12/1/2017,12/1/2017
